*Sch DP	Act DP
07/06/2015 9:05 PM (Mo)	9:05PM
07/06/2015 9:10 PM (Mo)	9:12PM
07/06/2015 10:05 PM (Mo)	10:10PM
07/06/2015 10:45 PM (Mo)	10:45PM
07/06/2015 11:15 PM (Mo)	11:15PM
07/07/2015 2:40 AM (Tu)	2:40AM
07/07/2015 3:00 AM (Tu)	3:00AM
07/07/2015 4:40 AM (Tu)	4:40AM
07/07/2015 5:30 AM (Tu)	5:30AM
07/07/2015 6:00 AM (Tu)	6:01AM
07/07/2015 6:05 AM (Tu)	6:07AM
07/07/2015 6:10 AM (Tu)	6:12AM
07/07/2015 6:20 AM (Tu)	6:22AM
07/07/2015 6:55 AM (Tu)	6:55AM
07/07/2015 7:00 AM (Tu)	7:00AM
07/07/2015 7:05 AM (Tu)	7:07AM
07/07/2015 7:15 AM (Tu)	7:17AM
07/07/2015 7:17 AM (Tu)	7:17AM
07/07/2015 7:25 AM (Tu)	7:25AM
07/07/2015 8:00 AM (Tu)	8:00AM
07/07/2015 8:00 AM (Tu)	8:01AM
07/07/2015 8:10 AM (Tu)	8:10AM
07/07/2015 8:15 AM (Tu)	8:17AM
07/07/2015 8:30 AM (Tu)	8:43AM
07/07/2015 9:00 AM (Tu)	9:01AM
07/07/2015 9:30 AM (Tu)	9:30AM
07/07/2015 9:35 AM (Tu)	9:52AM
07/07/2015 10:00 AM (Tu)	10:02AM
07/07/2015 10:03 AM (Tu)	10:04AM
07/07/2015 10:20 AM (Tu)	10:21AM
07/07/2015 10:35 AM (Tu)	10:40AM
07/07/2015 10:52 AM (Tu)	10:52AM
07/07/2015 11:00 AM (Tu)	11:03AM
07/07/2015 11:00 AM (Tu)	11:01AM
07/07/2015 11:02 AM (Tu)	11:02AM
07/07/2015 11:20 AM (Tu)	11:22AM
07/07/2015 11:33 AM (Tu)	11:33AM
07/07/2015 11:35 AM (Tu)	11:46AM
07/07/2015 12:00 PM (Tu)	12:00PM
07/07/2015 12:03 PM (Tu)	12:09PM
07/07/2015 12:05 PM (Tu)	12:05PM
07/07/2015 12:30 PM (Tu)	12:34PM
07/07/2015 12:35 PM (Tu)	12:37PM
07/07/2015 1:00 PM (Tu)	1:00PM
07/07/2015 1:03 PM (Tu)	1:22PM
07/07/2015 1:20 PM (Tu)	1:23PM
